PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.5 uM,Standard Deviation,Inhibition at 8.5 uM [1],Inhibition at 8.5 uM [2],Inhibition at 8.5 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized average percent inhibition of the counterscreen at a compound concentration of 8.5 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 1.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 2.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
48,49645769,24747342,CC(C)(C)OC(=O)N(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,Active,88,,,86.72,0.726694,86.9881,87.4407,85.7235
49,49673524,854418,COC1=CC=CC=C1C(=O)NC2=NC3=CC=CC=C3N2,Active,88,,,86.68,0.865882,85.4623,87.3726,87.2156
50,92764377,45280989,C=CC(=O)N1C/C(=C/C2=CC=C(C=C2)F)/C(=O)/C(=C\C3=CC=C(C=C3)F)/C1,Active,87,,,86.33,0.585308,87.1618,85.9472,85.8947
51,24826614,135439852,CN=C1N(C(=CS1)C2=CC=CC=C2F)/N=C/C3=CC=CN3,Active,87,,,85.97,1.45151,83.9232,87.0922,86.9037
52,56320611,2998676,CC1=CC(=C(N1CC2CCCO2)C)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O,Active,87,,,85.95,0.376505,86.4459,85.5351,85.8655
53,92764376,45280988,C=CC(=O)N1C/C(=C/C2=CC=C(C=C2)Cl)/C(=O)/C(=C\C3=CC=C(C=C3)Cl)/C1,Active,86,,,85.38,1.29361,83.5739,86.5456,86.0122
54,89853664,5057111,CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC(=O)C3=CC=CC=C3Br,Active,86,,,84.51,2.50814,80.991,86.6363,85.9127
55,14732945,5393549,CC1=CC=C(C=C1)C(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-],Active,86,,,84.47,0.252804,84.7841,84.1651,84.4581
56,14722533,778068,CC(C)(C)C1=CC=C(O1)C(=O)NC2=CC=C(C=C2)CC(=O)O,Active,85,,,84.29,0.537322,83.5524,84.8149,84.506
57,26725306,23205,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)O)C(=C)C(=O)O2,Active,85,,,83.86,0.978782,85.0509,83.8873,82.6537
58,99456967,1348232,COC1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCCC(=O)NC3=CC=C(C=C3)C(=O)O,Active,84,,,83.4,1.3815,82.3938,85.3512,82.4482
59,14722725,864329,C1CCC(CC1)C2=CC=C(C=C2)NC(=O)CSCC(=O)O,Active,84,,,83.15,1.34497,81.2686,83.8865,84.3097
60,14731793,894181,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)CC(=O)OC,Active,84,,,83.14,0.741061,82.3782,82.9052,84.1461
61,842526,644796,CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)OC,Active,84,,,83.09,0.90202,81.8229,83.6264,83.8301
62,49716130,22829045,COC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O,Active,84,,,83.01,0.658921,82.2792,82.8848,83.8777
63,24828804,16196105,CC1=CC=C(C=C1)C2=CSC(=[N+]2CC=C)NC3=CC=C(C=C3)NC(=O)C.[Br-],Active,84,,,82.74,0.876198,83.7288,82.8957,81.5993
64,26726561,2815170,C1COC2=C(O1)C=CC(=C2)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O,Active,84,,,82.63,0.448929,83.1867,82.6289,82.0871
65,49826867,8030390,CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC(=O)NC3=CC=CC=N3)C,Active,83,,,82.34,1.39533,80.3638,83.2583,83.3851
66,24823426,1562623,C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCCC(=O)NNC(=O)C3=CC=CC=C3O,Active,83,,,82.3,0.96089,80.9628,83.1891,82.7372
67,24784417,16188433,CC1C/C(=C\C2=CC=NC=C2)/C(=O)/C(=C\C3=CC=NC=C3)/C1,Active,83,,,82.15,3.18231,84.7352,84.0391,77.6634
68,22403083,135521560,CCN=C1NN=C(CS1)C2=C(N(C(=C2)C)CC=C)C.Cl,Active,83,,,81.99,1.78731,82.4836,83.8954,79.6006
69,866055,667316,COC1=CC=C(C=C1)C2=NOC(=N2)CCCC(=O)O,Active,82,,,81.32,0.740474,81.4119,80.3674,82.1739
70,47203287,310860,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CC=C(C=C3)N,Active,82,,,81.26,0.193169,81.4196,80.9875,81.3706
71,4254515,972733,C1CCC2=C(CC1)SC(=C2C#N)NC(=O)CSC3=NC=NN3,Active,82,,,81.07,0.616402,81.608,81.3918,80.2058
72,16953064,2409986,CC1=CC(=C(N1CC2=CC=CS2)C)C(=O)COC(=O)C3=CC=CC=C3O,Active,82,,,80.98,1.61205,78.9255,81.1361,82.8644
