PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 3.6 uM,Standard Deviation,Inhibition at 3.6 uM [1],Inhibition at 3.6 uM [2],Inhibition at 3.6 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average percent inhibition of the counterscreen at a compound concentration of 3.6 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 1.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 2.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
54,92763380,429643,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N(C)C)O,Active,96,,,96.47,0.469353,95.9963,96.2983,97.108
55,855836,6603320,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl,Active,96,,,96.44,0.684205,95.4774,96.8967,96.9589
56,24827750,10864994,CCN\1C2=C(C=CC(=C2)C3=CC=CC=C3)O/C1=C\C=C\C4=[N+](C5=C(O4)C=CC(=C5)C6=CC=CC=C6)CC.CCOS(=O)(=O)[O-],Active,96,,,96.41,0.202778,96.6579,96.4046,96.1613
57,49671128,150655,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCCO,Active,96,,,96.38,1.50088,95.7238,94.9579,98.4548
58,56320746,9551998,CC1=CC=C(C=C1)N2C3=[N+](C=C2C4=CC=C(C=C4)Br)C5=C(CC3)C=CC6=C5N=CC=C6.[Br-],Active,96,,,96.33,0.219792,96.0219,96.5158,96.4543
59,92764053,300567,C1=NC(=C2C(=C(N(C2=N1)C3C(C(C(O3)CO)O)O)N)C#N)N,Active,96,,,96.3,0.12985,96.1268,96.4378,96.3401
60,92763379,429575,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N(C)C)O,Active,96,,,96.28,0.263497,96.0603,96.1301,96.6509
61,92763438,430232,CC1=CC2C3(CC1O)COC(=O)C4C(O4)(C(COC(C=CC=CC(=O)OC5C3(C6(CO6)C(C5)O2)C)C(C)O)O)C,Active,96,,,96.16,0.407247,95.5872,96.4525,96.4497
62,93576890,2199,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,Active,96,,,96.12,0.0954914,96.2525,96.0452,96.0549
63,92763434,619061,C1OC2=C(O1)C(=C3C(=C2)C4=CC(C(C(C4NC3=O)O)O)O)O,Active,96,,,96.02,0.472304,96.63,95.9462,95.48
64,93577483,275781,C1=CN(C2=NC=NC(=C21)NO)C3C(C(C(O3)CO)O)O,Active,96,,,96,0.14685,95.8823,95.9127,96.2079
65,85199724,9661009,CC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O,Active,96,,,95.99,0.2564,95.6798,96.3077,95.9825
66,47193747,253602,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,Active,96,,,95.91,0.439824,96.4065,95.3357,95.9737
67,24810078,16193002,CCCCCCCCCC[N+]1=CC=CC2=C1C=CC3=CC=CC=C32.[I-],Active,96,,,95.87,0.330443,96.33,95.5675,95.7134
68,92764137,40586,CC1C2=C(CC(O1)CC(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)O,Active,96,,,95.85,0.559011,96.5663,95.2015,95.7879
69,92763435,4366047,CC1C(C(C(C(O1)NC2=NC=NC3=C2NC=N3)O)O)NC(=O)CNC(=O)CCCCCCCCCCCCC(C)C,Active,96,,,95.85,0.305768,96.0649,96.0669,95.4173
70,93576889,233768,CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)OC(=O)C,Active,96,,,95.83,0.0615726,95.896,95.7496,95.8542
71,89854589,240739,C1=CC2=C(C=C1S(=O)(=O)N)C(=O)C(=C(C2=O)Cl)N,Active,96,,,95.79,0.927476,96.4898,94.4752,96.392
72,24810214,16193032,CCN1/C(=C/C2=[N+](C3=CC=CC=C3C=C2)CC=C)/C=CC4=C1C=CC(=C4)C.[Br-],Active,96,,,95.77,0.281652,96.1528,95.6562,95.4897
73,56463698,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,96,,,95.76,0.268319,95.6962,95.4635,96.1121
74,85149103,24011657,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3(C4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,Active,95,,,95.57,0.339365,95.1636,95.9945,95.556
75,92763860,434381,C1OC2=C(O1)C=C3C(=C2)C4=CC(C(C(C4NC3=O)O)O)O,Active,95,,,95.56,0.265085,95.5011,95.2615,95.904
76,14719315,9549170,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)N.O,Active,95,,,95.47,0.0241183,95.4852,95.4333,95.4836
77,92764146,431377,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC6(C(C5O3)O6)C)COC(=O)C1OC(=O)C)C)CO4,Active,95,,,95.33,0.761649,96.3676,95.0827,94.5537
78,92763343,100158,CC1=C(C(=O)C2=C(C1=O)C3C4C5C(CC(N5C)C(N4C2CO)C#N)C6N3CCO6)OC,Active,95,,,95.3,0.403724,95.8636,95.0858,94.9458
79,93576780,15558347,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.Cl.[Cl-],Active,95,,,95.28,0.629653,94.8278,94.8385,96.1688
80,51087855,12627144,CC1=CC=C(C=C1)C2=CC(=CC(=[N+]2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,95,,,95.25,0.67382,94.2978,95.6495,95.7939
81,14724089,9549474,CCCCCCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br,Active,95,,,95.2,0.338861,94.7251,95.4381,95.4496
82,24837215,5680788,C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)O,Active,95,,,95.16,0.536925,94.6084,94.9789,95.8865
83,51089733,12627143,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=C(C=C3)C)C4=CC=CC=C4)C5=CC=C(C=C5)C.[O-]Cl(=O)(=O)=O,Active,95,,,94.99,0.59257,95.6069,94.1902,95.172
84,99355610,21773133,CC(=O)OC[C@]12CC[C@@H]3[C@]4(CCCC([C@@H]4CC[C@]3([C@@H]1CC(O2)C5=CC(=O)OC5O)C)(C)C)C,Active,95,,,94.95,0.394181,95.4461,94.9339,94.4812
85,51087857,12627137,CC1=CC=CC=C1[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,95,,,94.73,0.786631,93.7435,94.7851,95.6682
86,56320762,16196375,CC1(CC(=CC(=[N+]2CCCCC2)C1)N3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)C.[I-],Active,95,,,94.72,0.655356,93.9541,94.6424,95.5542
87,99495574,5716367,CCCCCC[N+]1=CC=CC=C1/C=C/C2=CC=C(C=C2)N(C)C.[I-],Active,95,,,94.67,0.420615,94.2113,94.5697,95.227
88,92764869,404406,C[N+]1=C2CCCCC2=C3N1C4=CC=CC=C4C3=CC5=CC=C(C=C5)N(C)C.C(F)(F)(F)S(=O)(=O)[O-],Active,95,,,94.66,0.924721,93.4858,95.7455,94.7503
89,24824133,6604199,C[C@H]1C[C@H](C(=O)[C@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,95,,,94.66,0.922857,94.885,93.4311,95.6571
90,24780123,16187234,CCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.I,Active,95,,,94.65,1.16671,96.1803,94.4079,93.3527
91,24802966,16192607,CCCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,95,,,94.6,0.358695,94.1878,94.5598,95.0632
92,17432436,2834423,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=CC=C4)C)C(C)C.[Cl-],Active,94,,,94.5,0.355593,94.3554,94.988,94.1532
93,14729238,1472216,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)CC2=CC=CC=C2)/Cl)/Cl,Active,94,,,94.49,1.44826,94.8966,96.0327,92.5543
94,26725274,330973,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)CC(=O)O[C@H]4[C@H]5[C@@H](C[C@H]([C@H]6[C@]4(C(=O)C=C6)C)C)OC(=O)C5=C)C(=C)C(=O)O2,Active,94,,,94.46,0.73981,94.3599,93.6023,95.4067
95,92763395,3826744,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O,Active,94,,,94.44,0.696414,95.3019,94.4276,93.5962
96,24807840,16192864,COC1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3N2CC4=CC=CC=C4)CC5=CC=CC=C5.[Br-],Active,94,,,94.43,0.580606,94.8041,93.6079,94.8723
97,17507644,5719932,CC1=CC(=C(C(=O)N1)C(=O)/C=C/C2=CC=CC3=CC=CC=C32)C,Active,94,,,94.3,0.343538,94.7099,94.3148,93.8689
98,89855900,44825859,C1C2=CN=NN2C3=CC=CC=C3C(N1CC4=CC(=CC(=C4)Cl)Cl)C#N,Active,94,,,94.26,0.447715,93.8406,94.8831,94.067
